year,sex,course,intake,enrolment,graduates
2005,MF,Information Technology,4895,13963,3918
2006,MF,Information Technology,4700,14258,3891
2007,MF,Information Technology,4745,14748,3823
2008,MF,Information Technology,4976,15768,4630
2009,MF,Information Technology,5017,16072,4088
2010,MF,Information Technology,4626,15240,4324
2011,MF,Information Technology,4999,15332,4315
2012,MF,Information Technology,5004,15530,4406
2013,MF,Information Technology,4842,15680,4347
2014,MF,Information Technology,4463,15298,4574
2015,MF,Information Technology,4284,14564,4479
2016,MF,Information Technology,4148,14008,4356
2017,MF,Information Technology,4488,14126,4066
2018,MF,Information Technology,4859,14681,3991
2019,MF,Information Technology,5171,15725,3734
2020,MF,Information Technology,5383,16808,3977
